import time: self [us] | cumulative | imported package
import time:       303 |        303 |         asyncpg.compat
import time:      1891 |       1891 |           configparser
import time:       408 |        408 |             termios
import time:       286 |        694 |           getpass
import time:       617 |        617 |             asyncpg.exceptions._base
import time:      5352 |       5968 |           asyncpg.exceptions
import time:       180 |        180 |                 asyncpg.pgproto
import time:       716 |        716 |                 asyncpg.pgproto.types
import time:       814 |       1709 |               asyncpg.pgproto.pgproto
import time:      1256 |       1256 |               asyncpg.types
import time:       232 |        232 |               asyncpg.protocol.record
import time:        83 |         83 |                 unicodedata
import time:       515 |        598 |               stringprep
import time:      1932 |       5725 |             asyncpg.protocol.protocol
import time:       268 |       5993 |           asyncpg.protocol
import time:      1507 |      16052 |         asyncpg.connect_utils
import time:       195 |        195 |           asyncpg.connresource
import time:       520 |        715 |         asyncpg.cursor
import time:       189 |        189 |         asyncpg.introspection
import time:       373 |        373 |         asyncpg.prepared_stmt
import time:       709 |        709 |         asyncpg.serverversion
import time:       441 |        441 |         asyncpg.transaction
import time:       174 |        174 |         asyncpg.utils
import time:      2145 |      21097 |       asyncpg.connection
import time:       901 |        901 |       asyncpg.pool
import time:       162 |        162 |       asyncpg._version
import time:       498 |      22656 |     asyncpg
import time:       115 |        115 |             src.application.ports
import time:       671 |        786 |           src.application.ports.cache_port
import time:       224 |        224 |           src.application.ports.lock_port
import time:       158 |        158 |                 src.domain
import time:       263 |        420 |               src.domain.runtime
import time:       927 |       1347 |             src.domain.runtime.state_contracts
import time:       636 |       1983 |           src.application.ports.agent_runtime_port
import time:       260 |        260 |           src.application.ports.logger_port
import time:       116 |        116 |             src.application.services
import time:       163 |        163 |               src.domain.runtime.value_parsing
import time:      1739 |       1901 |             src.domain.runtime.project_runtime_profile
import time:       445 |       2462 |           src.application.services.project_runtime_guards
import time:       112 |        112 |             src.utils
import time:       260 |        371 |           src.utils.uuid_utils
import time:       170 |        170 |               src.domain.project_plane
import time:       166 |        166 |               src.domain.project_plane.json_types
import time:      2042 |       2377 |             src.domain.project_plane.manager_assignments
import time:      2133 |       2133 |             src.domain.project_plane.thread_runtime
import time:       612 |        612 |             src.domain.project_plane.thread_status
import time:       522 |       5642 |           src.application.orchestration.client_message_service
import time:       356 |        356 |                     src.domain.identity
import time:      4985 |       5341 |                   src.domain.identity.user_views
import time:      4915 |      10255 |                 src.application.dto.auth_dto
import time:       200 |        200 |                       src.domain.control_plane
import time:      3830 |       4030 |                     src.domain.control_plane.project_configuration
import time:      4733 |       4733 |                     src.domain.control_plane.project_views
import time:      1352 |       1352 |                     src.domain.project_plane.manager_reply_history
import time:      8279 |      18392 |                   src.application.dto.project_dto
import time:      2743 |      21135 |                 src.application.dto.control_plane_dto
import time:       679 |        679 |                 src.application.dto.knowledge_dto
import time:       601 |        601 |                 src.application.dto.webhook_dto
import time:      2703 |       2703 |                 src.application.dto.runtime_dto
import time:       579 |      35950 |               src.application.dto
import time:        47 |      35997 |             src.application.dto.runtime_dto
import time:       502 |      36498 |           src.application.orchestration.graph_factory
import time:       286 |        286 |           src.application.orchestration.manager_reply_service
import time:       253 |        253 |           src.application.orchestration.project_runtime_loader
import time:       243 |        243 |             src.application.ports.telegram_port
import time:       205 |        447 |           src.application.orchestration.transport_sender_port
import time:       747 |      49954 |         src.application.orchestration.conversation_orchestrator
import time:       245 |      50198 |       src.application.orchestration
import time:        33 |      50231 |     src.application.orchestration.conversation_orchestrator
import time:       194 |        194 |         src.infrastructure
import time:       316 |        509 |       src.infrastructure.app
import time:       758 |        758 |             structlog.typing
